Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Bill Thieben,85,4.0,3.2,0.3,33.1,null,64.0,null,10.1,-0.5
Bill Tosheff,203,9.2,3.0,3.3,31.5,null,79.3,null,11.2,5.2
Bill Turner,294,5.4,3.5,0.6,40.7,null,72.8,null,10.7,4.8
Bill Walton,468,13.3,10.5,3.4,52.1,0.0,66.0,52.1,20.0,39.3
Bill Wennington,720,4.6,3.0,0.6,45.9,13.9,78.7,46.0,10.9,17.7
Bill Willoughby,488,6.0,3.9,0.8,47.0,27.0,75.0,47.2,11.8,13.3
Bill Zopf,53,2.2,0.9,1.4,36.3,null,55.6,null,9.6,-0.1
Billy Ray Bates,187,11.7,1.7,1.9,47.4,30.3,79.6,48.3,18.1,6.9
Billy Cunningham,770,21.2,10.4,4.3,45.2,26.3,73.0,45.2,20.0,78.6
Billy DeAngelis,8,1.3,0.8,1.0,50.0,-,66.7,50.0,3.1,0.1
Billy Donovan,44,2.4,0.6,2.0,40.4,0.0,81.0,40.4,8.7,-0.1
Billy Evans,53,1.9,0.7,1.9,36.8,0.0,54.3,36.8,4.1,0.4
Billy Garrett,4,6.5,0.8,1.8,40.7,0.0,100.0,40.7,9.8,0.0
Billy Harris,76,8.0,1.6,1.5,39.8,21.9,67.7,41.0,10.5,-0.4
Billy Hassett,91,4.5,1.1,2.0,27.9,null,65.6,null,-,1.6
Billy James,1,2.0,0.0,1.0,33.3,-,-,33.3,-4.8,0.0
Billy Kenville,345,7.1,3.5,2.1,36.3,null,75.8,null,13.6,13.7
Billy Knight,821,16.9,5.3,2.3,50.7,28.4,82.7,50.9,18.2,63.9
Billy McKinney,476,8.0,1.4,3.5,49.3,6.3,82.0,49.3,13.7,15.6
Billy Owens,600,11.7,6.7,2.8,48.1,29.1,62.9,48.8,14.4,28.6
Billy Paultz,1124,11.7,8.0,2.0,49.7,0.0,69.0,49.7,16.3,70.4
Billy Reid,59,3.2,1.0,1.2,45.4,0.0,56.4,45.4,6.2,-0.6
Billy Schaeffer,137,5.9,2.1,0.7,47.2,23.1,73.2,47.6,12.1,3.1
Billy Shepherd,169,5.7,1.1,3.9,38.7,35.7,69.6,45.5,12.1,2.8
Billy Thomas,53,2.7,1.0,0.5,33.8,30.4,84.6,44.0,7.8,0.4
Billy Thompson,300,8.6,5.4,1.7,50.5,15.4,67.4,50.5,13.2,9.6
Bimbo Coles,852,7.8,2.1,3.9,42.5,26.7,81.1,44.7,12.1,27.4
Bingo Smith,865,12.6,4.2,2.0,44.9,28.4,79.8,45.0,14.1,33.3
Bird Averitt,366,12.1,1.9,2.9,40.5,24.9,74.3,41.2,12.5,3.9
Bismack Biyombo,621,5.1,6.3,0.5,52.2,0.0,57.4,52.2,13.1,24.9
Bison Dele,413,11.0,6.2,1.1,52.8,14.3,69.1,52.8,16.5,22.8
Blackie Towery,128,9.4,-,2.4,29.3,null,74.8,null,-,4.2
Blaine Denning,1,5.0,4.0,0.0,40.0,null,100.0,null,18.9,0.0
Blair Rasmussen,532,9.6,5.7,0.9,47.2,25.7,76.7,47.3,13.3,19.0
Blake Ahearn,19,4.6,1.2,1.2,27.3,29.8,97.0,36.4,7.2,-0.2
Blake Griffin,622,21.7,8.8,4.4,49.8,33.3,69.4,51.8,22.0,75.3
Blue Edwards,704,10.8,3.4,2.0,47.5,33.5,77.9,49.9,12.8,24.2
Bo Ellis,168,3.6,2.9,0.7,43.1,0.0,73.1,43.1,10.2,2.5
Bo Erias,18,8.2,4.6,1.4,34.7,null,63.8,null,8.9,-0.1
Bo Kimble,105,5.5,1.5,0.9,38.6,29.1,72.8,40.8,8.1,0.1
Bo Lamar,273,16.4,2.7,3.9,41.1,26.7,76.8,42.4,14.6,5.4
Bo Outlaw,914,5.4,4.9,1.6,56.7,7.9,52.1,56.8,14.2,50.8
Bob Allen,27,1.8,2.1,0.4,32.6,null,55.6,null,6.8,0.1
Bob Anderegg,33,4.0,2.1,0.9,38.5,null,54.8,null,9.3,0.0
Bob Armstrong,19,1.5,2.1,0.2,29.7,null,50.0,null,7.8,-0.1
Bob Arnzen,111,4.0,2.0,0.3,46.5,20.0,80.0,46.6,13.6,1.4
Bob Bedell,269,8.4,5.2,1.2,42.3,19.0,77.4,42.6,15.9,5.6
Bob Bigelow,94,2.5,1.2,0.4,41.4,null,73.2,null,8.7,0.5
Bob Boozer,874,14.8,8.1,1.4,46.2,null,76.1,null,16.1,64.2
Bob Brannum,338,7.3,7.0,2.1,34.4,null,65.2,null,11.3,5.6
Bob Brown,82,10.1,-,1.4,35.8,null,68.9,null,-,1.7
Bob Burrow,81,5.7,4.4,0.6,36.5,null,57.8,null,12.4,1.9
Bob Carney,19,3.6,2.4,0.8,37.5,null,52.5,null,8.7,0.3
Bob Carpenter,122,7.7,4.1,1.4,33.7,null,76.8,null,-,6.9
Bob Carrington,82,8.2,2.3,1.5,42.8,0.0,76.0,42.8,9.4,1.3
Bob Christian,248,3.8,4.1,0.8,48.5,-,70.4,48.5,12.3,5.7
Bob Cluggish,54,4.4,-,0.4,26.1,null,57.1,null,-,1.1
Bob Cousy,924,18.4,5.2,7.5,37.5,null,80.3,null,19.8,91.1
Bob Dandridge,839,18.5,6.8,3.4,48.4,16.7,78.0,48.4,16.7,80.3
Bob Davies,462,14.3,2.9,4.9,37.8,null,75.9,null,18.0,49.7
Bob Davis,9,1.8,0.6,0.2,21.4,null,66.7,null,-1.0,-0.3
Bob Dille,57,5.2,-,0.7,19.7,null,66.7,null,-,-0.9
Bob Doll,196,8.4,-,1.4,28.6,null,66.2,null,-,10.2
Bob Donham,273,6.7,3.9,2.6,48.0,null,50.7,null,14.1,18.0
Bob Duffy,17,1.1,-,0.0,21.9,null,71.4,null,-,0.0
Bob Duffy,94,4.3,1.1,1.8,39.6,null,64.9,null,10.8,0.5
Bob Elliott,141,7.0,3.6,1.4,49.4,33.3,64.9,49.6,12.3,3.0
Bob Evans,47,3.0,-,1.2,28.0,null,68.2,null,-,-0.3
Bob Faught,51,6.7,-,0.6,29.5,null,57.5,null,-,1.7
Bob Feerick,221,13.3,-,2.0,36.2,null,80.5,null,-,41.7
Bob Ferry,634,9.1,5.3,1.4,43.3,null,66.4,null,13.7,20.2
Bob Fitzgerald,78,3.1,-,0.6,19.4,null,62.9,null,-,-0.2
Bob Ford,9,1.6,1.3,0.4,29.4,-,80.0,29.4,2.8,-0.1
Bob Gantt,23,3.1,-,0.2,32.6,null,46.4,null,-,1.3
Bob Greacen,47,2.4,1.4,0.9,37.4,-,60.0,37.4,7.9,-0.1
Bob Gross,513,8.9,4.4,2.9,51.2,17.9,79.8,51.2,14.7,30.7
Bob Hansen,575,6.9,2.2,1.6,46.8,32.3,66.2,49.1,10.0,15.4
Bob Harris,325,6.8,6.9,1.5,38.5,null,62.8,null,12.6,15.7
Bob Harrison,615,7.2,2.5,2.7,35.2,null,69.3,null,7.1,13.2
Bob Hogsett,20,1.9,1.3,0.1,33.3,-,56.5,33.3,5.3,0.0
Bob Hopkins,273,8.2,5.6,0.7,39.4,null,76.1,null,13.6,9.5
Bob Houbregs,281,9.3,5.5,1.8,40.4,null,72.1,null,13.6,14.3
Bob Hubbard,62,3.6,-,0.5,24.9,null,67.4,null,-,-0.9
Bob Kauffman,525,11.5,7.0,2.7,47.7,null,74.9,null,16.8,31.5
Bob Kinney,118,9.5,-,1.5,35.3,null,60.8,null,-,8.4
Bob Knight,2,3.5,0.5,4.0,42.9,null,100.0,null,11.9,0.1
Bob Lackey,71,5.8,2.3,1.9,43.1,40.0,59.3,43.4,7.3,-0.1
Bob Lanier,959,20.1,10.1,3.1,51.4,15.4,76.7,51.4,21.7,117.1
Bob Lavoy,264,8.2,6.2,1.5,38.4,null,70.7,null,15.0,15.9
Bob Lochmueller,62,3.7,2.6,0.8,32.2,null,60.7,null,9.0,0.5
Bob Love,789,17.6,5.9,1.4,42.9,null,80.5,null,14.9,50.4
Bob Martin,54,2.1,2.2,0.3,44.1,-,60.8,44.1,6.8,0.3
Bob McAdoo,852,22.1,9.4,2.3,50.3,8.1,75.4,50.3,20.7,89.1
Bob McCann,178,4.2,2.6,0.6,47.9,20.0,57.7,48.0,10.2,2.0
Bob McIntyre,28,7.1,4.3,0.6,37.4,25.0,57.6,37.7,9.3,-0.1
Bob McNeill,125,4.6,1.4,2.6,39.4,null,81.9,null,10.5,1.9
