Player,G,PTS,TRB,AST,FG(%),FG3(%),FT(%),eFG(%),PER,WS
Jack Givens,156,6.7,2.9,0.9,40.1,0.0,79.1,40.1,12.3,4.3
Joe Graboski,845,11.0,8.1,1.8,35.2,null,70.0,null,13.7,25.6
Joey Graham,377,5.9,2.8,0.5,48.3,30.0,81.5,49.8,11.0,7.8
Jim Grandholm,26,3.0,1.9,0.3,51.7,52.9,47.6,59.5,16.5,0.4
Jerami Grant,508,10.7,3.9,1.3,45.7,34.7,70.5,51.6,13.5,25.8
Jerian Grant,279,6.1,1.9,2.9,41.1,32.3,77.0,47.2,12.5,8.3
Josh Grant,53,3.0,1.7,0.5,40.4,27.9,75.9,46.2,11.7,0.5
Josh Gray,7,4.9,1.7,2.0,27.9,23.1,63.6,31.4,4.7,-0.3
Jeff Grayer,438,7.4,3.0,1.4,45.7,25.5,66.3,46.3,12.0,9.0
JaMychal Green,420,8.1,6.0,0.9,47.0,38.0,77.2,53.5,13.6,19.9
Javonte Green,89,3.5,1.8,0.5,50.9,30.2,70.7,55.0,12.6,2.2
Jeff Green,976,12.8,4.4,1.6,44.4,34.0,80.4,49.5,13.2,46.4
Johnny Green,1057,11.6,8.6,1.4,49.3,null,55.3,null,17.1,58.0
Josh Green,39,2.6,2.0,0.7,45.2,16.0,56.5,47.3,8.8,0.5
Jerry Greenspan,25,4.9,3.3,0.4,38.8,null,72.4,null,9.8,0.4
John Greig,9,2.1,0.7,0.0,53.8,-,83.3,53.8,19.9,0.1
Jerry Grote,11,1.3,0.4,0.4,54.5,null,100.0,null,14.9,0.1
Jay Guidinger,64,1.5,1.5,0.3,40.2,-,60.9,40.2,9.9,0.4
Jorge Gutiérrez,47,2.9,1.1,1.5,50.0,17.6,77.8,51.4,10.9,0.8
Jim Hadnot,77,17.5,12.2,1.8,46.7,0.0,66.8,46.7,18.2,6.2
Jack Haley,341,3.5,2.7,0.2,42.5,0.0,65.5,42.5,9.7,2.9
